#fname,lanme,Position,Number,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,FaceShield,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck
Zach,Line,FB,48,Ohio State,4/26/1990,Right,233,6' 1",Normal,Skin 1,Face 5,No,Standard,Type 7,None,No,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Jeff,Reed,K,3,North Carolina,4/9/1979,Right,232,5' 11",Normal,Skin 17,Face 4,No,Standard,Type 1,None,No,No,None,None,None,None,None,None,None,Style 1,Style 2,None,None
Ben,Graham,P,2,None,11/2/1973,Left,236,6' 5",Normal,Skin 9,Face 5,No,Standard,Type 3,None,No,No,None,None,None,None,None,None,None,Style 6,Style 6,None,None
Cedric,Benson,RB,32,Texas,12/28/1982,Right,227,5' 11",Normal,Skin 4,Face 3,Yes,Standard,Type 7,Clear,No,No,Team 4,Team 4,Taped Small,Taped Small,High White,High White,None,Style 6,Style 6,None,None
Ron,Edwards,DT,96,Texas A&M,7/12/1979,Right,315,6' 3",Large,Skin 19,Face 10,No,Standard,Type 10,None,No,No,Type 4,Type 4,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None
Kevin,Boss,TE,80,None,1/11/1984,Right,255,6' 6",Normal,Skin 1,Face 14,No,Standard,Type 2,None,No,No,Team 3,Team 3,None,None,High Black,High Black,None,Style 3,Style 3,None,None
Rocky,Bernard,DT,95,Texas A&M,4/19/1979,Right,301,6' 3",Extra Large,Skin 12,Face 12,No,Standard,Type 6,None,No,No,Type 2,Type 2,None,None,Black,Black,None,Style 3,Style 3,None,None
Nick,Harris,P,5,California,7/23/1978,Right,218,6' 2",Normal,Skin 1,Face 4,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,White,Style 6,Style 6,None,None
Kerry,Rhodes,FS,25,Louisville,8/2/1982,Right,212,6' 3",Normal,Skin 3,Face 4,No,Standard,Type 5,Clear,No,Yes,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,None
Michael,Turner,RB,33,Northern Illinois,2/13/1982,Right,247,5' 10",Normal,Skin 3,Face 6,No,Standard,Type 5,Clear,No,No,Team 3,Team 3,None,None,None,None,None,Style 4,Style 4,None,None
Sione,Pouha,DT,91,Utah,2/3/1979,Right,325,6' 3",Extra Large,Skin 2,Face 13,No,Revolution,Type 6,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None
Dan,Koppen,C,67,Boston College,9/12/1979,Right,296,6' 2",Extra Large,Skin 17,Face 13,No,Standard,Type 10,None,No,No,Team 3,Team 3,Taped Small,Taped Small,Neoprene,Neoprene,None,Style 6,Style 6,None,None
Nate,Livings,G,71,Louisiana State,3/16/1982,Right,332,6' 5",Extra Large,Skin 3,Face 10,No,Standard,Type 10,None,No,No,Type 3,Type 3,None,None,None,None,None,Style 6,Style 6,None,None
Tracy,Wilson,FS,35,Northern Illinois,2/27/1989,Right,203,6' 2",Normal,Skin 5,Face 15,No,Standard,Type 3,None,No,No,Type 2,Type 2,Neoprene Large,Neoprene Large,None,None,None,Style 3,Style 3,None,None
Shaun,Rogers,DT,95,Texas,3/12/1979,Right,350,6' 4",Extra Large,Skin 21,Face 6,No,Standard,Type 6,None,No,No,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,None
Garrett,Hartley,K,5,Oklahoma,5/16/1986,Right,196,5' 8",Skinny,Skin 1,Face 5,No,Standard,Type 1,None,No,No,None,None,None,None,None,None,Black,Style 6,Style 6,None,None
Michael,Huff,FS,29,Texas,3/6/1983,Right,205,6' 1",Normal,Skin 4,Face 2,No,Standard,Type 5,Clear,Yes,No,Team 2,Team 2,Neoprene Large,Neoprene Large,None,None,None,Style 3,Style 3,None,None
Rian,Lindell,K,4,Washington State,1/20/1977,Right,227,6' 3",Normal,Skin 17,Face 7,No,Standard,Type 1,None,No,No,None,None,None,None,None,None,None,Style 6,Style 6,None,None
Danny,Watkins,G,62,Baylor,11/6/1984,Right,310,6' 3",Large,Skin 1,Face 2,No,Standard,Type 26,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Isaac,Sopoaga,DT,90,Hawaii,9/4/1981,Right,330,6' 2",Extra Large,Skin 2,Face 9,Yes,Standard,Type 6,None,No,No,Team 3,Team 3,None,None,None,None,None,Style 3,Style 3,None,None
Michael,Bush,RB,29,Louisville,6/16/1984,Right,245,6' 1",Normal,Skin 4,Face 4,No,Standard,Type 7,None,Yes,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Taped,Taped,None,Whit
Kyle,Cook,C,64,Michigan State,7/25/1983,Right,316,6' 3",Large,Skin 1,Face 13,No,Standard,Type 10,None,No,No,Type 4,Taped,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Dennis,Roland,T,74,Georgia,3/10/1983,Right,322,6' 9",Large,Skin 1,Face 13,No,Revolution,Type 23,None,No,No,Type 4,Type 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Whit
Chris,Crocker,SS,32,Marshall,3/9/1980,Right,200,5' 11",Normal,Skin 2,Face 6,No,Standard,Type 5,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Davone,Bess,WR,15,Hawaii,9/13/1985,Right,190,5' 10",Normal,Skin 4,Face 3,Yes,Standard,Type 5,None,Yes,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Jeff,King,TE,87,Virginia Tech,2/19/1983,Right,260,6' 3",Large,Skin 1,Face 2,No,Standard,Type 3,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Eric,Winston,T,73,Miami (Fla.),11/17/1983,Right,302,6' 7",Large,Skin 1,Face 6,No,Revolution,Type 26,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Le'Ron,McClain,FB,33,Alabama,12/27/1984,Right,260,6 '0",Large,Skin 5,Face 3,No,Standard,Type 5,None,Yes,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Dunta,Robinson,CB,21,South Carolina,4/11/1982,Right,183,5' 10",Normal,Skin 5,Face 1,Yes,Standard,Type 5,None,No,No,Type 1,Type 1,Single White,Single White,None,None,None,Style 1,Style 1,None,None
Aubrayo,Franklin,DT,97,Tennessee,8/27/1980,Right,317,6' 1",Large,Skin 5,Face 14,No,Standard,Type 10,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Pat,Angerer,ILB,51,Iowa,1/31/1987,Right,235,6 '0",Normal,Skin 1,Face 10,No,Standard,Type 10,None,Yes,No,Type 3,Type 3,Double White,Double White,None,None,None,Style 6,Style 6,None,None
Dustin,Keller,TE,81,Purdue,9/25/1984,Right,250,6' 2",Normal,Skin 2,Face 13,No,Revolution,Type 3,None,Yes,No,Team 1,Team 1,None,None,High Black,High Black,None,Style 3,Style 3,None,None
Richie,Incognito,G,68,Nebraska,7/5/1983,Right,324,6' 3",Large,Skin 1,Face 13,No,Standard,Type 10,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 4,Style 4,Bulging,None
Austin,Spitler,ILB,40,Ohio State,10/26/1986,Right,243,6' 2",Normal,Skin 1,Face 7,No,Revolution,Type 14,None,Yes,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,Bulging,None
Stephen,Nicholas,OLB,54,South Florida,5/1/1983,Right,236,6' 3",Normal,Skin 5,Face 10,No,Standard,Type 10,None,No,No,Team 3,Team 3,Neoprene Large,Neoprene Large,None,None,None,Style 3,Style 3,None,None
Asante,Samuel,CB,22,Central Florida,1/6/1981,Right,185,5' 10",Normal,Skin 5,Face 6,Yes,Standard,Type 5,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
David,Baas,C,64,Michigan,9/28/1981,Right,319,6' 4",Extra Large,Skin 17,Face 10,No,Standard,Type 11,None,No,No,Team 3,Team 3,Single White,Single White,None,None,None,Style 3,Style 3,None,None
Corey,Webster,CB,23,Louisiana State,3/2/1982,Right,200,6 '0",Normal,Skin 3,Face 9,No,Standard,Type 5,None,No,No,Team 4,Team 4,Single White,Single White,None,None,None,Style 3,Style 3,None,None
Lex,Hilliard,FB,36,Montana,7/30/1984,Right,240,5' 11",Normal,Skin 2,Face 3,No,Standard,Type 5,None,Yes,Yes,Team 4,Team 4,None,None,High Black,High Black,None,Style 1,Style 1,None,None
Josh,Cribbs,WR,16,Kent State,6/9/1983,Right,215,6' 1",Normal,Skin 2,Face 6,Yes,Standard,Type 3,None,No,No,Team 2,Team 2,None,None,High White,High White,None,Style 6,Style 6,None,Whit
Kellen,Winslow,TE,81,Miami (Fla.),7/21/1983,Right,240,6' 4",Normal,Skin 11,Face 9,No,Standard,Type 5,None,Yes,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Rocky,McIntosh,OLB,52,Miami (Fla.),11/15/1982,Right,242,6' 2",Normal,Skin 4,Face 12,No,Standard,Type 7,None,No,No,Team 2,Team 2,None,None,High White,High White,None,Style 3,Style 3,None,None
Jermichael,Finley,TE,88,Texas,3/26/1987,Right,247,6' 5",Normal,Skin 3,Face 10,No,Standard,Type 7,None,No,No,Type 4,Type 4,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Robert,Francois,ILB,49,Boston College,5/14/1985,Right,255,6' 2",Normal,Skin 2,Face 14,No,Standard,Type 7,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
Dan,Connor,ILB,55,Penn State,11/2/1985,Right,231,6' 2",Normal,Skin 1,Face 14,No,Revolution,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Drayton,Florence,CB,29,Tuskegee,12/19/1980,Right,193,6 '0",Skinny,Skin 4,Face 7,No,Standard,Type 5,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
Quintin,Mikell,SS,27,Boise State,9/16/1980,Right,204,5' 10",Normal,Skin 4,Face 5,No,Standard,Type 7,Clear,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,High White,High White,None,Style 6,Style 6,None,None
Will,Svitek,T,74,Stanford,1/8/1982,Right,308,6' 6",Large,Skin 1,Face 6,No,Standard,Type 6,None,No,No,Team 1,Team 1,Taped Small,Taped Small,Neoprene,Neoprene,None,Style 2,Style 2,None,None
Andre,Carter,DE,96,California,5/12/1979,Right,265,6' 4",Normal,Skin 4,Face 10,No,Standard,Type 6,None,No,No,Team 2,Team 2,Double Team,Double Team,High Team,High Team,None,Style 3,Style 3,None,None
Mike,Brisiel,G,65,Colorado State,3/14/1983,Right,300,6' 5",Large,Skin 1,Face 5,No,Standard,Type 6,None,No,No,Team 2,Team 2,Taped Small,Taped Small,Neoprene,Neoprene,None,Style 6,Style 6,None,None
Sav,Rocca,P,6,None,11/20/1973,Right,265,6' 5",Normal,Skin 1,Face 10,No,Standard,Type 1,None,No,No,None,None,None,None,None,None,None,Style 6,Style 6,None,None
Jonathan,Vilma,ILB,51,Miami (Fla.),4/16/1982,Right,230,6' 1",Normal,Skin 12,Face 1,No,Standard,Type 10,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
Mat,McBriar,P,10,Hawaii,7/8/1979,Right,227,6 '0",Normal,Skin 1,Face 5,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,None,Style 3,Style 3,None,None
Greg,Jones,FB,33,Florida State,5/9/1981,Right,254,6' 1",Normal,Skin 14,Face 1,No,Revolution,Type 17,Dark,No,No,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,None
Robert,Turner,C,59,New Mexico,8/20/1984,Right,308,6' 4",Large,Skin 1,Face 10,No,Revolution,Type 6,None,No,No,Team 4,Team 4,Taped Small,Taped Small,High Black,High Black,None,Style 6,Style 6,None,None
Mike,Otto,T,66,Purdue,7/24/1983,Right,310,6' 5",Extra Large,Skin 1,Face 7,No,Revolution,Type 22,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
David,Stewart,T,76,Mississippi State,8/28/1982,Right,315,6' 7",Large,Skin 1,Face 13,No,Standard,Type 10,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Greg,Childs,WR,85,Arkansas,3/20/1990,Right,217,6' 3",Normal,Skin 3,Face 2,No,Standard,Type 5,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,High White,High White,None,Style 5,Style 6,None,None
Will,Tukuafu,FB,48,Oregon,1/3/1984,Right,293,6' 4",Large,Skin 2,Face 5,Yes,Standard,Type 6,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,Black,Black,None,Style 6,Style 6,None,None
Greg,Little,WR,18,North Carolina,5/30/1989,Right,220,6' 2",Normal,Skin 5,Face 5,No,Standard,Type 5,None,Yes,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Pat,Devlin,QB,7,Delaware,4/12/1988,Right,225,6' 3",Normal,Skin 1,Face 5,No,Standard,Type 2,None,No,No,None,None,None,Single White,None,None,None,Style 3,Style 3,None,None
Marcus,Lattimore,RB,38,South Carolina,10/29/1991,Right,221,5' 11",Normal,Skin 4,Face 2,No,Standard,Type 5,None,No,Yes,None,None,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Antoine,McClain,G,73,Clemson,12/6/1989,Right,336,6' 5",Large,Skin 3,Face 11,No,Revolution,Type 6,None,No,No,Type 4,Type 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Isaiah,Trufant,CB,35,Eastern Washington,12/9/1982,Right,160,5' 7",Skinny,Skin 3,Face 1,Yes,Standard,Type 5,None,No,No,Type 2,Type 2,Single Black,Single Black,High Black,High Black,None,Style 2,Style 2,None,None
Trindon,Holliday,WR,15,Louisiana State,4/27/1986,Right,169,5' 6",Skinny,Skin 4,Face 4,No,Revolution,Type 5,None,No,No,Team 4,Team 4,None,None,High White,High White,None,Style 6,Style 6,None,None
Jacoby,Ford,WR,12,Clemson,7/27/1987,Right,185,5' 9",Normal,Skin 4,Face 3,No,Standard,Type 5,None,Yes,No,Type 2,Type 2,None,None,High Black,High Black,None,Style 6,Style 6,None,None
Mikel,Leshoure Sr.,RB,25,Illinois,3/30/1990,Right,233,6 '0",Normal,Skin 3,Face 3,Yes,Revolution,Type 5,None,Yes,No,Team 2,Team 2,None,None,None,None,None,Style 2,Style 2,None,None
Andre,Fluellen,DT,96,Florida State,3/7/1985,Right,302,6' 2",Extra Large,Skin 4,Face 11,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None
Jerel,Worthy,DE,99,Michigan State,4/26/1990,Right,310,6' 3",Large,Skin 3,Face 5,No,Standard,Type 6,Clear,Yes,No,Team 2,Team 2,Neoprene Small,Neoprene Small,High Black,High Black,None,Style 6,Style 6,None,None
Chris,Scott,G,75,Tennessee,8/4/1987,Right,319,6' 4",Extra Large,Skin 3,Face 1,Yes,Standard,Type 10,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Josh,Boyce,WR,82,TCU,1/22/1990,Right,206,5' 11",Normal,Skin 4,Face 3,No,Standard,Type 2,Clear,No,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 4,Style 4,None,None
Lamar,Mady,G,63,Youngstown State,12/13/1990,Right,317,6' 2",Extra Large,Skin 4,Face 3,No,Standard,Type 10,None,No,No,Type 4,Type 4,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None
Curtis,Taylor,FS,27,Louisiana State,7/13/1985,Right,209,6' 2",Normal,Skin 4,Face 11,No,Standard,Type 5,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Josh,Freeman,QB,2,Kansas State,1/13/1988,Right,248,6' 6",Normal,Skin 2,Face 3,No,Standard,Type 3,None,No,No,None,None,Quarterback,Single White,None,None,None,Style 1,Style 1,None,None
Justin,Blackmon,WR,14,Oklahoma State,1/9/1990,Right,215,6' 1",Normal,Skin 4,Face 5,No,Standard,Type 5,Clear,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Daryl,Washington,ILB,58,TCU,10/9/1986,Right,230,6' 2",Normal,Skin 3,Face 10,No,Standard,Type 10,None,Yes,No,Type 3,Type 3,Double Black,Double Black,None,None,None,Style 6,Style 6,None,None
Jordan,Palmer,QB,2,UTEP,5/30/1984,Right,232,6' 5",Normal,Skin 1,Face 6,No,Standard,Type 2,None,No,No,None,None,Quarterback,Single Black,None,None,None,Style 4,Style 4,None,None
Sean,Weatherspoon,ILB,56,Missouri,12/29/1987,Left,244,6' 2",Normal,Skin 6,Face 15,No,Revolution,Type 25,None,Yes,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Garrett,Gilbert,QB,5,SMU,7/1/1991,Right,223,6' 4",Normal,Skin 1,Face 6,No,Standard,Type 2,None,No,No,None,None,Neoprene Large,None,None,None,None,Style 1,Style 1,None,None
Fili,Moala,DE,95,USC,6/23/1985,Right,308,6' 4",Extra Large,Skin 2,Face 12,No,Standard,Type 10,None,No,No,Type 3,Type 3,Single White,Single White,None,None,None,Style 6,Style 6,None,Whit
Chris,Houston,CB,23,Arkansas,10/18/1984,Right,178,5' 11",Skinny,Skin 3,Face 7,No,Standard,Type 5,None,Yes,No,Team 4,Team 4,Elastic Small,Elastic Small,None,None,None,Style 6,Style 6,None,Whit
Earl,Bennett,WR,10,Vanderbilt,3/23/1987,Right,206,6 '0",Normal,Skin 4,Face 7,No,Standard,Type 5,None,Yes,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 2,Style 2,None,Whit
Sean,Lee,ILB,50,Penn State,7/22/1986,Right,234,6' 2",Normal,Skin 1,Face 6,No,Standard,Type 10,None,Yes,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Whit
Dominique,Davis,QB,4,East Carolina,7/17/1989,Right,210,6' 3",Normal,Skin 4,Face 15,No,Standard,Type 2,None,No,No,None,None,Single White,Single White,None,None,None,Style 3,Style 3,None,None
Will,Rackley,G,67,None,10/11/1989,Right,310,6' 3",Large,Skin 3,Face 10,Yes,Standard,Type 4,None,Yes,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Leonard,Hankerson,WR,85,Miami (Fla.),1/30/1989,Right,211,6' 2",Normal,Skin 3,Face 6,No,Standard,Type 5,None,No,No,Team 2,Team 2,None,None,High White,High White,None,Style 6,Style 6,None,None
Julian,Vandervelde,C,61,Iowa,10/7/1987,Right,300,6' 2",Large,Skin 1,Face 6,No,Standard,Type 22,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Jason,Phillips,ILB,52,TCU,2/14/1986,Right,240,6' 1",Normal,Skin 1,Face 6,No,Standard,Type 10,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Ed,Reynolds,SS,30,Stanford,10/18/1991,Right,206,6' 2",Normal,Skin 2,Face 3,No,Revolution,Type 5,Clear,Yes,Yes,Team 3,Team 3,Taped Small,Taped Small,High White,High White,None,Style 6,Style 6,None,None
David,Paulson,TE,81,Oregon,2/22/1989,Right,246,6' 4",Normal,Skin 1,Face 13,No,Standard,Type 7,None,No,Yes,Team 3,Team 3,None,None,None,None,None,Style 3,Style 3,None,None
Guy,Whimper,T,78,East Carolina,5/21/1983,Right,315,6' 5",Large,Skin 4,Face 12,No,Standard,Type 10,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Adam,Podlesh,P,4,Maryland,8/11/1983,Right,200,5' 11",Normal,Skin 1,Face 14,No,Standard,Type 1,None,No,No,None,None,Single White,Double White,None,None,None,Style 1,Style 1,None,None
Brad,Sorensen,QB,4,Southern Utah,3/13/1988,Right,230,6' 5",Normal,Skin 1,Face 14,No,Standard,Type 2,None,No,No,None,None,Quarterback,None,None,None,None,Style 3,Style 3,None,None
Jeromey,Clary,G,66,Kansas State,11/5/1983,Right,320,6' 6",Large,Skin 1,Face 14,No,Revolution,Type 23,None,No,No,Type 1,Type 1,Taped Small,Taped Small,Neoprene,Neoprene,None,Taped,Taped,None,None
Kwame,Geathers,DT,95,Georgia,10/4/1990,Right,335,6' 6",Extra Large,Skin 4,Face 3,No,Standard,Type 26,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None
Jonas,Mouton,ILB,57,Michigan,3/17/1988,Right,240,6' 2",Normal,Skin 3,Face 2,No,Standard,Type 7,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
J'Marcus,Webb,T,73,West Texas A&M,8/8/1988,Right,333,6' 7",Large,Skin 3,Face 6,No,Revolution,Type 22,None,Yes,No,Team 2,Team 2,Single Black,Single Black,None,None,None,Style 2,Style 2,None,None
Nico,Johnson,ILB,57,Alabama,6/19/1990,Right,249,6' 2",Normal,Skin 3,Face 11,No,Standard,Type 5,Clear,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Dezman,Moses,OLB,54,Tulane,1/4/1989,Right,249,6' 2",Normal,Skin 4,Face 2,Yes,Standard,Type 7,None,Yes,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Uche,Nwaneri,G,74,Purdue,3/20/1984,Right,310,6' 3",Extra Large,Skin 4,Face 9,Yes,Revolution,Type 26,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Arthur,Lynch,TE,88,Georgia,6/17/1990,Right,258,6' 5",Large,Skin 1,Face 2,No,Standard,Type 7,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Sam,Brenner,C,65,Utah,4/27/1990,Right,310,6' 2",Large,Skin 1,Face 3,No,Revolution,Type 6,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
A.J.,Francis,DT,96,Maryland,5/7/1990,Right,305,6' 5",Large,Skin 3,Face 3,No,Standard,Type 6,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Dion,Jordan,DE,95,Oregon,3/5/1990,Right,260,6' 6",Normal,Skin 4,Face 7,No,Standard,Type 19,Clear,No,No,Team 4,Team 4,Double Black,Double Black,High Team,High Team,None,Style 3,Style 3,None,None
Sam,Baker,T,72,USC,5/30/1985,Right,301,6' 5",Extra Large,Skin 1,Face 15,No,Revolution,Type 26,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Mike,Johnson,G,79,Alabama,4/2/1987,Right,304,6' 6",Large,Skin 1,Face 13,No,Revolution,Type 23,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,Whit
Zeke,Motta,FS,22,Notre Dame,5/14/1990,Right,215,6' 2",Normal,Skin 1,Face 7,No,Standard,Type 7,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Curtis,Painter,QB,17,Purdue,6/24/1985,Right,230,6' 4",Normal,Skin 1,Face 7,No,Standard,Type 3,None,No,No,None,None,Single White,Single White,None,None,None,Style 6,Style 6,None,None
Kellen,Davis,TE,87,Michigan State,10/11/1985,Right,265,6' 7",Large,Skin 2,Face 12,No,Standard,Type 2,None,Yes,No,Type 1,Type 1,None,None,None,None,None,Style 2,Style 2,None,None
Matt,Simms,QB,5,Tennessee,9/27/1988,Right,210,6' 3",Normal,Skin 1,Face 5,No,Standard,Type 2,None,No,No,None,None,Quarterback,None,None,None,None,Style 3,Style 3,None,None
Shaquelle,Evans,WR,81,UCLA,3/7/1991,Right,210,6 '0",Normal,Skin 4,Face 4,No,Standard,Type 5,Clear,No,No,Team 3,Team 3,Double Black,Double Black,None,None,None,Style 3,Style 3,None,None
Clyde,Gates,WR,10,Abilene Christian,6/13/1986,Left,197,6 '0",Skinny,Skin 4,Face 5,Yes,Standard,Type 2,None,No,No,Team 1,Team 1,None,None,None,None,None,Style 3,Style 3,None,None
Caleb,Schlauderaff,C,72,Utah,11/7/1987,Right,302,6' 4",Large,Skin 1,Face 13,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Antwan,Barnes,OLB,95,None,10/19/1984,Right,251,6' 1",Normal,Skin 4,Face 11,No,Standard,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Garrett,McIntyre,OLB,50,Fresno State,11/26/1984,Right,255,6' 3",Normal,Skin 1,Face 3,No,Revolution,Type 7,None,No,Yes,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Dexter,McDougle,CB,43,Maryland,4/8/1991,Right,196,5' 10",Normal,Skin 2,Face 3,No,Standard,Type 5,None,No,Yes,Team 2,Team 2,Neoprene Large,Neoprene Large,None,None,None,Style 3,Style 3,None,None
Kenyon,Barner,RB,25,Oregon,4/28/1989,Right,190,5' 9",Skinny,Skin 4,Face 5,No,Standard,Type 5,None,No,Yes,Team 2,Team 2,None,None,High White,High White,None,Style 1,Style 1,None,None
Edmund,Kugbila,G,71,Valdosta State,9/21/1990,Right,325,6' 4",Large,Skin 3,Face 15,No,Standard,Type 6,None,No,No,Type 4,Type 4,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Robert,Lester,SS,38,Alabama,4/30/1988,Right,215,6' 1",Normal,Skin 3,Face 14,No,Revolution,Type 5,None,No,Yes,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Kendall,Hunter,RB,32,Oklahoma State,9/16/1988,Right,199,5' 7",Normal,Skin 3,Face 7,No,Standard,Type 3,None,No,No,Team 2,Team 2,Single White,Single White,None,None,None,Style 6,Style 6,None,None
Jon,Baldwin,WR,84,Pittsburgh,8/10/1989,Right,230,6' 4",Normal,Skin 4,Face 6,No,Standard,Type 5,Clear,No,No,Team 4,Team 4,None,None,None,None,None,Style 6,Style 6,None,None
Garrett,Celek,TE,88,Michigan State,5/29/1988,Right,252,6' 5",Normal,Skin 1,Face 2,No,Standard,Type 7,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Whit
Brandon,Thomas,G,60,Clemson,2/18/1991,Right,316,6' 4",Large,Skin 4,Face 4,No,Revolution,Type 10,None,No,No,Team 4,Team 4,Single Team,Single Team,None,None,None,Style 1,Style 1,None,None
Aldon,Smith,OLB,99,Missouri,9/25/1989,Right,265,6' 4",Large,Skin 4,Face 4,No,Standard,Type 6,Clear,No,No,Team 1,Team 1,Single White,Single White,High White,High White,None,Style 2,Style 2,None,None
NaVorro,Bowman,ILB,53,Penn State,5/28/1988,Right,242,6 '0",Normal,Skin 4,Face 11,No,Revolution,Type 7,Clear,Yes,No,Team 3,Team 3,Double Black,Double Black,None,None,None,Style 3,Style 3,None,None
