#fname,lname,Position,JerseyNumber,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,Visor,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck,
Chase,Allen,OLB,59,USC,8/29/1993,Right,250,"6'3""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Kiko,Alonso,OLB,47,Oregon,8/14/1990,Right,238,"6'3""",Normal,Skin1,Face4,No,Revolution,FaceMask7,None,No,No,Team1,Team1,NeopreneSmall,NeopreneSmall,None,None,None,Shoe6,Shoe6,None,None,
Stephone,Anthony,OLB,44,Clemson,7/28/1992,Right,245,"6'3""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Rey,Maualuga,ILB,58,USC,1/20/1987,Right,255,"6'2""",Normal,Skin2,Face13,Yes,Standard,FaceMask6,None,Yes,No,Team1,Team1,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,White,
Mike,Hull,ILB,45,Penn State,5/25/1991,Right,233,"6'0""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Bobby,McCain,CB,28,Memphis,8/18/1993,Right,192,"5'11""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Cordrea,Tankersley,CB,30,Clemson,11/19/1993,Right,200,"6'1""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Xavien,Howard,CB,25,Baylor,7/4/1993,Right,198,"6'1""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Alterraun,Verner,CB,42,UCLA,12/13/1988,Left,187,"5'10""",Skinny,Skin4,Face7,No,Revolution,FaceMask5,None,Yes,No,Team1,Team1,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,None,
Walt,Aikens,CB,35,Liberty,6/19/1991,Right,218,"6'1""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jordan,Lucas,CB,21,Penn State,8/2/1993,Right,204,"6'0""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Torry,McTyer,CB,33,UNLV,4/10/1995,Right,184,"5'11""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Reshad,Jones,SS,20,Georgia,2/25/1988,Right,215,"6'1""",Normal,Skin5,Face4,No,Standard,FaceMask5,None,Yes,No,Team3,Team3,DoubleBlack,DoubleBlack,None,None,None,Shoe1,Shoe1,None,None,
Michael,Thomas,SS,31,Stanford,3/17/1989,Right,193,"5'11""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Maurice,Smith,FS,27,Georgia,6/14/1995,Right,197,"6'0""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Cody,Parkey,K,1,Auburn,2/19/1992,Right,190,"6'0""",Skinny,Skin1,Face6,No,Standard,FaceMask1,None,No,No,None,None,None,None,None,None,None,Shoe3,Shoe3,None,None,
Matt,Haack,P,16,Clemson,7/25/1994,Left,205,"6'0""",Normal,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team = Eagles    Players:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson,Wentz,QB,11,South Carolina,12/30/1992,Right,237,"6'5""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Nick,Foles,QB,9,Arizona,1/20/1989,Right,243,"6'6""",Normal,Skin1,Face6,No,Revolution,FaceMask3,None,Yes,No,None,None,SingleBlack,None,HighWhite,None,None,Shoe1,Shoe1,None,None,
Jay,Ajayi,RB,36,Boise State,6/15/1993,Right,229,"6'0""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
LeGarrette,Blount,RB,29,Oregon,12/5/1986,Right,250,"6'0""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Corey,Clement,RB,30,Wisconsin,11/2/1994,Right,220,"5'10""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Wendell,Smallwood,RB,28,West Virginia,1/29/1994,Right,208,"5'10""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Kenjon,Barner,RB,38,Oregon,4/28/1989,Right,195,"5'9""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Alshon,Jeffery,WR,17,South Carolina,2/14/1990,Right,216,"6'3""",Normal,Skin3,Face3,No,Revolution,FaceMask2,None,No,No,Team2,Team2,NeopreneSmall,NeopreneSmall,None,None,None,Shoe3,Shoe3,None,None,
Nelson,Agholor,WR,13,USC,5/24/1993,Right,198,"6'0""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Torrey,Smith,WR,82,Maryland,1/26/1989,Right,205,"6'0""",Normal,Skin4,Face2,No,Standard,FaceMask2,None,No,No,Type1,Type1,None,None,None,None,None,Shoe6,Shoe6,None,None,
Mack,Hollins,WR,10,North Carolina,9/16/1993,Right,221,"6'4""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Shelton,Gibson,WR,18,West Virginia,3/20/1995,Right,191,"5'11""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Marcus,Johnson,WR,14,Texas,8/5/1994,Right,204,"6'1""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Zach,Ertz,TE,86,Stanford,11/10/1990,Right,250,"6'5""",Normal,Skin1,Face11,No,Revolution,FaceMask7,None,Yes,No,Team1,Team1,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,None,
Trey,Burton,TE,88,Florida,10/29/1991,Right,235,"6'3""",Normal,Skin2,Face3,No,Standard,FaceMask2,None,Yes,No,Team3,Team3,DoubleWhite,DoubleWhite,None,None,None,Shoe3,Shoe3,None,None,
Brent,Celek,TE,87,Cincinnati,1/25/1985,Right,255,"6'4""",Normal,Skin1,Face10,No,Standard,FaceMask7,None,No,No,Type4,Type4,TapedSmall,TapedSmall,HighWhite,HighWhite,None,Shoe6,Shoe6,None,None,
Rick,Lovato,TE,45,Memphis,9/9/1992,Right,249,"6'2""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jason,Peters,T,71,Arkansas,1/22/1982,Right,328,"6'4""",Large,Skin14,Face10,No,Revolution,FaceMask19,None,No,No,Type4,Type4,NeopreneSmall,NeopreneSmall,Neoprene,Neoprene,None,Shoe6,Shoe6,None,None,
Taylor,Hart,T,77,Oregon,2/22/1991,Right,305,"6'6""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Lane,Johnson,T,65,Oklahoma,5/8/1990,Right,310,"6'6""",Large,Skin1,Face7,No,Standard,FaceMask6,None,No,No,Team1,Team1,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
Stefen,Wisniewski,G,61,Penn State,3/22/1989,Right,305,"6'3""",ExtraLarge,Skin1,Face7,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Isaac,Seumalo,G,73,Oregon State,10/29/1993,Right,303,"6'4""",ExtraLarge,Skin1,Face6,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Brandon,Brooks,G,79,Nebraska,8/19/1989,Right,335,"6'5""",Large,Skin2,Face3,No,Standard,FaceMask26,None,No,No,Type1,Type1,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
Chance,Warmack,G,67,Alabama,9/14/1991,Right,323,"6'2""",Large,Skin4,Face2,No,Revolution,FaceMask10,None,No,No,Type1,Type1,TapedSmall,TapedSmall,None,None,None,Shoe2,Shoe2,None,None,
Jason,Kelce,C,62,Cincinnati,11/5/1987,Right,295,"6'3""",Large,Skin1,Face7,No,Revolution,FaceMask6,None,No,No,Type2,Taped,TapedSmall,TapedSmall,Neoprene,Neoprene,None,Shoe4,Shoe4,None,None,
Brandon,Graham,DE,55,Michigan,4/3/1988,Right,265,"6'2""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Chris,Long,DE,56,Virginia,3/28/1985,Right,268,"6'3""",Large,Skin9,Face2,No,Standard,FaceMask10,None,No,No,Team2,Team2,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
Vinny,Curry,DE,75,Marshall,6/30/1988,Right,279,"6'3""",Large,Skin3,Face1,No,Revolution,FaceMask26,None,No,No,Team3,Team3,TapedSmall,TapedSmall,None,None,None,Shoe1,Shoe1,None,None,
Derek,Barnett,DE,96,Tennessee,6/25/1996,Right,259,"6'3""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Steven,Means,DE,51,Buffalo,12/5/1989,Right,263,"6'3""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Fletcher,Cox,DT,91,BYU,12/13/1990,Right,310,"6'4""",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Tim,Jernigan,DT,93,Florida State,9/24/1992,Right,295,"6'2""",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Beau,Allen,DT,94,Wisconsin,11/14/1991,Right,333,"6'2""",Large,Skin1,Face7,No,Revolution,FaceMask7,None,Yes,No,Team3,Team3,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,None,
Elijah,Qualls,DT,98,Washington,2/11/1995,Right,321,"6'1""",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Destiny,Vaeao,DT,97,Colorado,4/1/1994,Right,299,"6'4""",Large,Skin2,Face6,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Nigel,Bradham,OLB,53,Florida State,9/4/1989,Right,241,"6'2""",Normal,Skin5,Face1,No,Revolution,FaceMask19,None,Yes,No,Team3,Team3,TapedSmall,TapedSmall,HighWhite,HighWhite,None,Taped,Taped,None,None,
Najee,Goode,OLB,52,West Virginia,6/4/1989,Right,244,"6'0""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Mychal,Kendricks,OLB,95,California,6/27/1990,Right,240,"6'0""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Nathan,Gerry,OLB,47,Nebraska,2/23/1995,Right,218,"6'2""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Kamu,Grugier-Hill,OLB,54,Florida State,5/16/1994,Right,220,"6'2""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jordan,Hicks,ILB,58,Texas,6/27/1992,Right,236,"6'1""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Joe,Walker,ILB,59,Oregon,5/1/1993,Right,236,"6'2""",Large,Skin1,Face3,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Patrick,Robinson,CB,21,Florida State,9/2/1987,Right,191,"5'11""",Skinny,Skin5,Face4,No,Revolution,FaceMask19,None,Yes,No,Type2,Type2,None,None,None,None,None,Shoe6,Shoe6,None,None,
Ronald,Darby,CB,41,Florida State,1/2/1994,Right,193,"5'11""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jalen,Mills,CB,31,Marshall,4/6/1994,Right,191,"6'0""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Rasul,Douglas,CB,32,West Virginia,8/29/1995,Right,209,"6'2""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Dexter,McDougle,CB,33,Maryland,4/8/1991,Right,196,"5'10""",Normal,Skin2,Face3,No,Standard,FaceMask5,None,No,Yes,Team2,Team2,NeopreneLarge,NeopreneLarge,None,None,None,Shoe3,Shoe3,None,None,
Malcolm,Jenkins,SS,27,Ohio State,12/20/1987,Right,204,"6'0""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jaylen,Watkins,SS,26,Florida,11/27/1991,Right,194,"5'11""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Corey,Graham,FS,24,New Hampshire,7/25/1985,Right,196,"6'0""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Caleb,Sturgis,K,6,Florida,8/9/1989,Right,190,"5'9""",Skinny,Skin1,Face2,No,Standard,FaceMask2,None,No,No,None,None,None,None,None,None,None,Shoe6,Shoe6,None,None,
Jake,Elliott,K,4,Memphis,1/21/1995,Right,167,"5'9""",Skinny,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Donnie,Jones,P,8,Louisiana State,7/5/1980,Left,221,"6'2""",Normal,Skin1,Face13,No,Revolution,FaceMask1,None,No,No,None,None,None,None,None,None,None,Shoe6,Shoe6,None,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team = Falcons    Players:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt,Ryan,QB,2,Boston College,5/17/1985,Right,217,"6'4""",Normal,Skin1,Face6,No,Standard,FaceMask3,None,Yes,No,None,None,NeopreneLarge,SingleBlack,None,None,None,Shoe1,Shoe1,None,None,
Matt,Schaub,QB,8,Virginia,6/25/1981,Right,235,"6'5""",Normal,Skin17,Face2,No,Revolution,FaceMask2,None,No,No,None,None,SingleWhite,SingleWhite,None,None,None,Shoe3,Shoe3,None,None,
Devonta,Freeman,RB,24,Florida State,3/15/1992,Right,203,"5'8""",Normal,Skin3,Face1,Yes,Standard,FaceMask2,None,No,Yes,Team2,Team2,TapedSmall,TapedSmall,None,None,None,Shoe2,Shoe2,None,None,
Tevin,Coleman,RB,26,Indiana,4/16/1993,Right,210,"6'1""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Terron,Ward,RB,28,Oregon State,2/15/1992,Right,201,"5'7""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Derrick,Coleman,FB,40,UCLA,10/18/1990,Right,233,"6'0""",Normal,Skin3,Face6,No,Standard,FaceMask2,None,No,Yes,Team3,Team3,NeopreneSmall,NeopreneSmall,None,None,None,Shoe3,Shoe3,None,None,
Julio,Jones,WR,11,Alabama,2/3/1989,Right,220,"6'3""",Normal,Skin5,Face7,No,Standard,FaceMask2,None,No,No,Team3,Team3,SingleBlack,SingleBlack,None,None,None,Shoe3,Shoe3,None,None,
Mohamed,Sanu Sr,WR,12,Rutgers,8/22/1989,Right,210,"6'2""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Taylor,Gabriel,WR,18,Abilene Christian,2/17/1991,Right,167,"5'8""",Normal,Skin3,Face3,No,Revolution,FaceMask2,None,No,No,Team2,Team2,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,None,
Justin,Hardy,WR,14,East Carolina,12/18/1991,Right,192,"5'10""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Andre,Roberts,WR,19,None,1/9/1988,Right,195,"5'11""",Skinny,Skin3,Face6,Yes,Revolution,FaceMask16,None,Yes,No,Team4,Team4,SingleWhite,SingleWhite,None,None,None,Shoe6,Shoe6,None,None,
Nick,Williams,WR,15,Connecticut,11/23/1990,Right,184,"5'10""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Marvin,Hall,WR,17,Washington,4/10/1993,Right,190,"5'10""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Austin,Hooper,TE,81,Stanford,10/29/1994,Right,248,"6'4""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Levine,Toilolo,TE,80,Stanford,7/30/1991,Right,265,"6'8""",Large,Skin2,Face14,No,Revolution,FaceMask3,None,No,No,Team2,Team2,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,None,
Eric,Saubert,TE,85,Drake,5/1/1994,Right,253,"6'5""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Josh,Harris,TE,47,Auburn,4/27/1989,Right,224,"6'1""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jake,Matthews,T,70,Texas A&M,2/11/1992,Right,305,"6'5""",Large,Skin1,Face5,No,Standard,FaceMask10,None,No,No,Type1,Type1,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,Collar,None,
Ty,Sambrailo,T,74,Fresno State,3/10/1992,Right,315,"6'5""",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Ryan,Schraeder,T,73,Virginia Tech,5/4/1988,Right,300,"6'7""",Large,Skin1,Face5,No,Standard,FaceMask22,None,Yes,No,Team1,Team1,NeopreneSmall,NeopreneSmall,None,None,None,Shoe6,Shoe6,None,None,
Austin,Pasztor,T,68,Virginia,11/26/1990,Right,308,"6'7""",Large,Skin1,Face10,No,Revolution,FaceMask19,None,No,No,Team1,Team1,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
Andy,Levitre,G,67,Oregon State,5/15/1986,Right,303,"6'2""",Large,Skin1,Face2,No,Revolution,FaceMask23,None,Yes,No,Type4,Type4,TapedSmall,TapedSmall,None,None,None,Shoe2,Shoe2,None,None,
Sean,Harlow,G,64,Oregon State,3/28/1995,Right,303,"6'4""",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Wes,Schweitzer,G,71,"Miami, FL",9/11/1993,Right,300,"6'5""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Alex,Mack,C,51,California,11/19/1985,Right,311,"6'4""",Large,Skin1,Face14,No,Standard,FaceMask6,None,No,No,Type1,Type1,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,White,
Ben,Garland,C,63,Air Force,4/6/1988,Right,308,"6'5""",ExtraLarge,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Brooks,Reed,DE,50,Arizona,2/28/1987,Right,254,"6'3""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Takkarist,McKinley,DE,98,UCLA,11/2/1995,Right,250,"6'4""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Derrick,Shelby,DE,90,Utah,3/4/1989,Right,280,"6'2""",Large,Skin3,Face14,No,Standard,FaceMask12,None,Yes,No,Type2,Type2,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
Adrian,Clayborn,DE,99,Iowa,7/6/1988,Right,280,"6'3""",Large,Skin4,Face9,No,Standard,FaceMask23,None,No,No,Type3,Type3,TapedSmall,TapedSmall,None,None,None,Shoe1,Shoe1,None,White,
Courtney,Upshaw,DE,91,Alabama,12/13/1989,Right,272,"6'2""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Grady,Jarrett,DT,97,Clemson,4/28/1993,Right,305,"6'0""",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Dontari,Poe,DT,92,Memphis,8/18/1990,Right,346,"6'3""",ExtraLarge,Skin3,Face13,No,Revolution,FaceMask6,None,No,No,Type1,Type1,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,Collar,None,
Ahtyba,Rubin,DT,79,Iowa State,7/25/1986,Right,330,"6'2""",ExtraLarge,Skin5,Face4,No,Revolution,FaceMask21,None,No,No,Type4,Type4,None,None,None,None,None,Shoe6,Shoe6,None,None,
Vic,Beasley Jr,OLB,44,Clemson,7/8/1992,Right,246,"6'3""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Duke,Riley,OLB,42,Virginia Tech,8/9/1994,Right,230,"6'1""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jordan,Tripp,OLB,52,Montana,4/3/1991,Right,237,"6'3""",Normal,Skin1,Face5,No,Revolution,FaceMask7,None,No,No,Type4,Type4,DoubleBlack,DoubleBlack,None,None,None,Shoe6,Shoe6,None,None,
De'Vondre,Campbell,OLB,59,Minnesota,7/1/1993,Right,232,"6'4""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Sean,Weatherspoon,OLB,56,Missouri,12/29/1987,Right,244,"6'2""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Kemal,Ishmael,OLB,36,Southern Miss,5/6/1991,Right,225,"6'0""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Deion,Jones,ILB,45,Stanford,11/4/1994,Right,222,"6'1""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jermaine,Grace,ILB,54,"Miami, FL",11/8/1993,Right,223,"6'1""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Desmond,Trufant,CB,21,Washington,9/10/1990,Right,190,"6'0""",Normal,Skin6,Face7,Yes,Standard,FaceMask2,None,No,No,Team4,Team4,NeopreneSmall,NeopreneSmall,None,None,None,Shoe3,Shoe3,None,None,
Brian,Poole,CB,34,Florida,10/20/1992,Right,211,"5'10""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Robert,Alford,CB,23,None,11/1/1988,Right,186,"5'10""",Skinny,Skin3,Face3,No,Standard,FaceMask5,None,Yes,No,Team2,Team2,None,None,None,None,None,Shoe6,Shoe6,None,None,
Blidi,Wreh-Wilson,CB,33,Connecticut,12/5/1989,Right,198,"6'1""",Normal,Skin2,Face4,No,Standard,FaceMask5,None,Yes,No,Team2,Team2,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
C.J.,Goodwin,CB,29,California,2/4/1990,Right,220,"6'3""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Keanu,Neal,SS,22,Florida,7/26/1995,Right,211,"6'0""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Ricardo,Allen,FS,37,Purdue,12/18/1991,Right,186,"5'9""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Damontae,Kazee,FS,27,Georgia Tech,6/5/1993,Right,184,"5'10""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Sharrod,Neasman,FS,20,Clemson,10/14/1991,Right,198,"6'0""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Matt,Bryant,K,3,Baylor,5/29/1975,Right,203,"5'9""",Normal,Skin17,Face3,No,Standard,FaceMask1,None,No,No,None,None,None,None,None,None,None,Shoe3,Shoe3,None,None,
Matt,Bosher,P,5,TX A&M-Kingsville,10/18/1987,Right,208,"6'0""",Normal,Skin1,Face2,No,Standard,FaceMask2,None,No,No,None,None,None,None,None,None,None,Shoe4,Shoe2,None,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team = Giants    Players:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
